car_name,model,price,drive_type,fuel_tank_capacity,fuel_type,mileage,torque,seating_capacity,boot_space,instrument_cluster,elec_mileage,body_type,cng_mileage,power,image
Maserati Ghibli,Diesel,"Rs. 1,33,87,856",AWD (All Wheel Drive),70 litres,Diesel,,570Nm@2000-2600rpm,5,745 litres,Analog + Digital,,SUV,,275PS@4000rpm,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12553/2019-Maserati-Ghibli-front_12553_032_2400x1800_BAM.png
Toyota Land Cruiser,Vx,"Rs. 1,46,99,000",,93 litres,Diesel,9 km/litre,650Nm@1600-2600rpm,5,500 litres,Analog + Digital,,,,265PS@3400rpm,https://www.toyotaqatar.com/myassets/uploads/images/Vehicles/Land%20Cruiser/Colors/070%20White%20Pearl%20Crystal%20Shine_1.png
Audi Rs7,Sportback,"Rs. 1,70,72,000",AWD (All Wheel Drive),75 litres,Petrol,9.8 km/litre,700Nm@1750-5500rpm,7,500 litres,Analog + Digital,,SUV,,560PS@6600RPM,https://platform.cstatic-images.com/in/v2/stock_photos/72330740-8105-498b-987c-46354017d84c/c6452ec9-9a91-4b72-b6c9-63858634519f.png
Land Rover Range Rover,5.0L V8 Autobiography Petrol,"Rs. 2,60,37,526",AWD (All Wheel Drive),105 litres,Petrol,9.6 km/litre,625Nm@2500-5500rpm,4,621 litres,Analog + Digital,,"Sedan, Coupe",,518bhp@6000-6500rpm,https://vehicle-images.dealerinspire.com/stock-images/thumbnails/large/chrome/9dc22c5453d5f7328d66800f7db80dea.png
Maserati Grancabrio,Standard,"Rs. 1,98,65,675",4WD,75 litres,Petrol,9.8 km/litre,510Nm@4750rpm,7,,Analog + Digital,,SUV,,450PS@7000rpm,https://drivemetaormina.it/wp-content/uploads/2024/03/maserati-definitiva-1024x577.png
Mercedes Amg-Gt,S,"Rs. 2,15,83,466",RWD (Rear Wheel Drive),75 litres,Petrol,7.8 km/litre,650Nm@1750-4750rpm,4,909 litres,Analog + Digital,,Convertible,,510PS@6250rpm,"https://crdms.images.consumerreports.org/c_lfill,w_470,q_auto,f_auto/prod/cars/cr/model-years/17493-2024-mercedes-benz-amg-gt"
Mercedes Amg Gt 4-Door Coupe,63 S 4Matic+,"Rs. 2,42,00,000",AWD (All Wheel Drive),65 litres,Petrol,,700Nm@1900 rpm,2,350 litres,Analog + Digital,,Coupe,,639PS@6250rpm,https://media.oneweb.mercedes-benz.com/iris/europe/IN/290679/803_053/iris.webp?q=COSY-EU-100-1713d0VXqrWFqtyO67PobzIr3eWsrrCsdRRzwQZUnRZbMw3SGtGyStsd2J%25cUfpMqXGEjymJ0lVYpOB2qBqbApRAXI5uxfJQC30h7kzNHTwm7j86ohKViKw%25vq4yjyLR5cyYaxCaWrH1zjRn8w7hnoiZKMIM4FvslTg9LUO6PDaGqSeW0mRtsdB%25ycJtj9GXOcAyjJ0l4OVOB2iW9bAp0iyI5uBmMQC3Da4kzN7PKm7jKO3hKVv%25N%25vqJtayL0fsjko9wdYfHr4jufRcYxqN8NmDmA9KLBZ59U2G1oQsvt&BKGND=9&IMGT=W27&POV=BE320&uni=m
Lamborghini Huracan,Lp 610-4,"Rs. 3,71,33,704",AWD (All Wheel Drive),90 litres,Petrol,10.6 km/litre,560Nm@6500rpm,4,165 litres,Analog + Digital,,Coupe,,610PS@8250rpm,https://www.bulldays.net/wp-content/uploads/2024/02/Huracan_Performante-Spyder-resize.png
Ferrari 488 Gtb,Std,"Rs. 3,67,61,413",RWD (Rear Wheel Drive),78 litres,Petrol,5.5 km/litre,760NM@3000rpm,2,,Analog + Digital,,Coupe,,670PS@8000rpm,https://di-uploads-pod16.dealerinspire.com/continentalferrari/uploads/2018/10/Ferrari-458-Italia.png
Ferrari Gtc4 Lusso,V8 T,"Rs. 4,20,00,000",AWD (All Wheel Drive),91 litres,Petrol,5.5 km/litre,760Nm@5250RPM,2,230 litres,Analog + Digital,,Coupe,,610PS@7000rpm,https://real-luxury.com/media/tz_portfolio_plus/article/cache/ferrari-gtc-4-lusso-19-9_o.png
Lamborghini Aventador,Lp 700-4,"Rs. 4,78,93,943",AWD (All Wheel Drive),90 litres,Petrol,5 km/litre,690Nm@5500rpm,4,450 litres,Analog + Digital,,Coupe,,700PS@8250RPM,"https://carsguide-res.cloudinary.com/image/upload/f_auto,fl_lossy,q_auto,t_cg_hero_low/v1/editorial/vhs/Lamborghini-Aventador-coupe.png"
Rolls Royce Dawn,Convertible,"Rs. 5,92,16,193",4WD,80 litres,Petrol,7.9 km/litre,780Nm@1500-5000RPM,2,110 litres,Analog,,Coupe,,571PS@6000RPM,https://static.tcimg.net/vehicles/primary/8c5a810b503427d5/2021-Rolls-Royce-Dawn-white-full_color-driver_side_front_quarter.png
Rolls Royce Drophead Coupe,Phantom,"Rs. 8,37,55,383",RWD (Rear Wheel Drive),100 litres,Petrol,9.8 km/litre,720Nm@3500rpm,4,110 litres,Analog,,Convertible,,453PS@5350rpm,https://images.dealer.com/ddc/vehicles/2016/Rolls-Royce/Phantom%20Drophead%20Coupe/Convertible/perspective/front-left/2016_36.png
Maruti Suzuki Omni,5 Str Bs-Iv,"Rs. 2,82,778",RWD (Rear Wheel Drive),35 litres,Petrol,16.8 km/litre,59Nm@2500rpm,4,460 litres,Analog + Digital,,Convertible,,34.7PS@5000rpm,https://cdn.policyx.com/images/omni.png
Datsun Go+,Datsun D,"Rs. 4,12,292",RWD (Rear Wheel Drive),35 litres,Petrol,20.6 km/litre,104Nm@4000rpm,8,525 litres,Analog + Digital,,MPV,,68PS@5000rpm,https://auto.economictimes.indiatimes.com/files/retail_files/redi-go-1503573042-prod-var.png
Fiat Punto Evo Pure,1.2L Fire Dynamic,"Rs. 4,82,330",FWD (Front Wheel Drive),45 litres,Petrol,15 km/litre,96Nm@2500RPM,7,347 litres,Analog + Digital,,MPV,,68PS@6000rpm,https://nriol.com/images/punto-pure.png
Ford Figo,Ambiente 1.2 Ti-Vct,"Rs. 5,23,000",FWD (Front Wheel Drive),42 litres,Petrol,20.4 km/litre,120Nm@4250rpm,5,280 litres,Analog + Digital,,Hatchback,,96PS@6500rpm,https://images.carandbike.com/car-images/colors/ford/figo-aspire/ford-figo-aspire-white-gold.png?v=1538731135
Maruti Suzuki Baleno,1.3 Delta,"Rs. 7,46,621",FWD (Front Wheel Drive),37 litres,Diesel,27.39 km/litre,190Nm@2000rpm,5,,Analog + Digital,,Hatchback,,75PS@4000rpm,https://images.carandbike.com/car-images/colors/maruti-suzuki/baleno/maruti-suzuki-baleno-luxe-beige.png?v=1645703747
Hyundai Grand I10,1.2 Kappa Vtvt Magna,"Rs. 5,86,428",FWD (Front Wheel Drive),43 litres,Petrol,18.9 km/litre,114Nm@4000rpm,5,339 litres,Analog + Digital,,Hatchback,,83PS@6000rpm,https://ackodrive-assets.s3.amazonaws.com/media/test_jyZTYIc.png
Fiat Linea Classic,1.3 Multijet,"Rs. 7,51,203",FWD (Front Wheel Drive),45 litres,Diesel,19.5 km/litre,197Nm@1750RPM,5,256 litres,Analog + Digital,,Hatchback,18.9 km/kg,76PS@4000RPM,https://s3no.cashify.in/cashify/product/img/xhdpi/2aac5d84-aabb.jpg?p=default&s=lg
Nissan Sunny,Xe Petrol,"Rs. 7,07,025",FWD (Front Wheel Drive),41 litres,Petrol,16.95 km/litre,134Nm@4000rpm,5,500 litres,Analog + Digital,,Sedan,,99PS@6000rpm,https://www.businessinsider.in/photo/56623295.cms
Maruti Suzuki Ertiga,Lxi,"Rs. 7,59,000",FWD (Front Wheel Drive),45 litres,Petrol,19.34 km/litre,138Nm@4400rpm,5,490 litres,Analog + Digital,,Sedan,,103Bhp@6000rpm,https://cdn.24c.in/prod/new-car-cms/Maruti-Suzuki/Ertiga/2024/04/01/e978cb7c-f69b-4144-9525-80ffef3ec6ca-Maruti-Suzuki_Ertiga_Pearl-Metallic-Arctic-White(1).png
Maruti Suzuki Baleno Rs,Rs 1.0,"Rs. 7,88,913",FWD (Front Wheel Drive),37 litres,Petrol,21.4 km/litre,150Nm@1700-4500RPM,7,209(All3RowsUp).550(3rdRowFolded)&803(2ndRowand3rdRowFolded) litres,Analog + Digital,,MUV,,102PS@5500rpm,https://www.financialexpress.com/wp-content/uploads/2017/03/Maruti-Suzuki-Baleno-RS-PNG-large.png?w=660
Honda Wr-V,Vx Diesel,"Rs. 10,35,000",FWD (Front Wheel Drive),40 litres,Diesel,25.5 km/litre,200Nm@1750rpm,5,209(All3RowsUp).550(3rdRowFolded)&803(2ndRowand3rdRowFolded) litres,Analog + Digital,,Hatchback,,100PS@3600rpm,https://www.financialexpress.com/wp-content/uploads/2017/03/Maruti-Suzuki-Baleno-RS-PNG-large.png?w=660
Mahindra Tuv300,T4 Plus,"Rs. 8,54,328",FWD (Front Wheel Drive),60 litres,Diesel,18.49 km/litre,240Nm@1600-2800rpm,5,363 litres,Analog,,SUV,,84PS@3750RPM,https://images.carandbike.com/car-images/colors/mahindra/tuv300/mahindra-tuv300-pearl-white.png?v=1557838703
Maruti Suzuki S-Cross,1.3L Sigma,"Rs. 8,80,689",RWD (Rear Wheel Drive),48 litres,Diesel,23.65 km/litre,200Nm@1750rpm,7,384 litres,Analog + Digital,,SUV,,90PS@4000rpm,https://cdni.autocarindia.com/ExtraImages/20170906022252_SCross_FL_1.png
Renault Captur,Rxe Petrol,"Rs. 9,49,999",FWD (Front Wheel Drive),50 litres,Petrol,13.86 km/litre,142Nm@4000rpm,5,375 litres,Analog + Digital,,Crossover,,106PS@5600rpm,https://www.carandbike.com/_next/image?url=https%3A%2F%2Fimages.carandbike.com%2Fcar-images%2Fcolors%2Frenault%2Fcaptur%2Frenault-captur-pearl-white.png%3Fv%3D1&w=640&q=75
Mahindra Xylo,D2 Bs-Iv,"Rs. 9,63,037",FWD (Front Wheel Drive),55 litres,Diesel,13.9 km/litre,218Nm@1400-2600rpm,5,392 litres,Analog + Digital,,SUV,,95PS@3600rpm,https://www.carandbike.com/_next/image?url=https%3A%2F%2Fimages.carandbike.com%2Fcar-images%2Fcolors%2Fmahindra%2Fxylo%2Fmahindra-xylo-java-brown.png%3Fv%3D1&w=640&q=75
Kia Seltos,Hte 1.5,"Rs. 9,89,000",FWD (Front Wheel Drive),60 litres,Petrol,16.8 km/litre,144Nm@4500 rpm,8,400 litres,Analog + Digital,,SUV,,115PS@6300rpm,https://kia-wa.com/wp-content/uploads/sites/27/2020/04/kia_seltos_ClearWhite.png
Nissan Terrano,Xe D 85Ps,"Rs. 9,99,900",FWD (Front Wheel Drive),50 litres,Diesel,20.45 km/litre,200Nm@1900rpm,5,433 litres,Analog + Digital,,SUV,,85PS@3750rpm,https://development.bookyourcar.co.in/uploads/models/75/nissan-terrano-pearl-white.png
Tata Safari Storme,2.2 Lx 4X2,"Rs. 11,09,005",FWD (Front Wheel Drive),63 litres,Diesel,14 km/litre,320Nm@1700-2700rpm,5,475 litres,Analog + Digital,,SUV,,150PS@4000rpm,https://images.carandbike.com/car-images/colors/tata/safari-storme/tata-safari-storme-sky-grey.png?v=1
Mg Hector,1.5L Style,"Rs. 12,48,000",AWD (All Wheel Drive),,Petrol,,250NM,7,981 litres,Analog + Digital,,SUV,,141bhp,https://ackodrive-assets.s3.amazonaws.com/media/test_WmYrxE8.png
Tata Nexon Ev,Xm,"Rs. 13,99,000",FWD (Front Wheel Drive),,Electric,,245Nm,5,,,312 km/full charge,SUV,13.96 km/kg,129PS,https://s3.ap-south-1.amazonaws.com/evfy.bucket1/products/tata_nexon-ev_21.jpg
Hyundai Elantra,S,"Rs. 15,89,000",FWD (Front Wheel Drive),50 litres,Petrol,14.6 km/litre,196Nm@4000rpm,5,,Digital,,SUV,,152PS@6200rpm,https://images.carandbike.com/car-images/colors/hyundai/elantra/hyundai-elantra-polar-white.png?v=1570106618
Hyundai Tucson,2Wd Mt Diesel,"Rs. 20,79,717",FWD (Front Wheel Drive),62 litres,Diesel,18.42 km/litre,400NM@1750rpm,5,,Analog + Digital,,Sedan,,185PS@4000rpm,https://hanshyundai.com/assets/uploads/hyundai-color1119.png
Volkswagen Passat,2.0 Tdi Comfortline,"Rs. 30,21,500",FWD (Front Wheel Drive),55 litres,Diesel,17.42 km/litre,350Nm@1750-2500rpm,5,,Analog,,SUV,,180PS@3600-4000rpm,https://carfax-vrs.imgix.net/2022-Volkswagen-Passat-EX-400918164-08.png
Mercedes A-Class,180,"Rs. 27,85,288",FWD (Front Wheel Drive),50 litres,Petrol,15.5 km/litre,200Nm@1250-4000rpm,5,586 litres,Analog + Digital,,Sedan,,122PS@5000rpm,https://www.cars24.com/new-cars/_next/image/?url=https%3A%2F%2Fcdn.24c.in%2Fprod%2Fnew-car-cms%2FCar-Image%2F2024%2F04%2F12%2Fdc3bf9c9-5582-4290-bb03-8ecfb6cd3d5f-Mercedes-Benz_A-Class-Limousine_Feature-Image.png&w=640&q=75
Volvo V40 Cross Country,D3,"Rs. 32,83,000",FWD (Front Wheel Drive),60 litres,Diesel,16.8 km/litre,350Nm@1500-2750rpm,5,341 litres,Analog + Digital,,Hatchback,,150PS@3500rpm,https://cas.volvocars.com/image/vbsnext-v4/exterior/MY19_1817/526/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/default.png?market=in&client=gox-graph%7Cccs-self-service&fallback&angle=4&w=750&bg=00000000
Mini Countryman,Cooper S,"Rs. 34,90,000",FWD (Front Wheel Drive),47 litres,Petrol,14.41 km/litre,280Nm@1350rpm,5,324 litres,Digital,,Hatchback,,192PS@5500rpm,"https://carsguide-res.cloudinary.com/image/upload/f_auto,fl_lossy,q_auto,t_default/v1/editorial/vhs/Mini-Countryman_0.png"
Mercedes  C-Class,C 220D Prime,"Rs. 40,20,000",FWD (Front Wheel Drive),66 litres,Diesel,12.06 km/litre,400Nm@1600rpm,5,350 litres,Analog,,Hatchback,,192bhp@3800rpm,"https://carsguide-res.cloudinary.com/image/upload/f_auto,fl_lossy,q_auto,t_default/v1/editorial/mercedes-benz-c-class-my22-index-1.png"
Toyota Prius,Z8,"Rs. 45,09,000",RWD (Rear Wheel Drive),43 litres,Hybrid,23.9 km/litre,142Nm@3600rpm,5,480 litres,Analog + Digital,,Sedan,,98PS@5200rpm,https://platform.cstatic-images.com/xlarge/in/v2/stock_photos/b3462235-58cb-4b48-89a1-8d2732cb1dba/fdac6c01-2f85-4296-9a62-9aa3753b63e7.png
Lexus Es,300H,"Rs. 56,95,000",FWD (Front Wheel Drive),,Hybrid,17.8 km/litre,221Nm@3600-5200rpm,5,480 litres,Analog + Digital,,Sedan,,176Bhp@5700rpm,https://www.lexusindia.co.in/content/dam/lexus-v3-blueprint/models/sedan/es/es-300h/my23/es-300h-configurator-entry.png
Lexus Nx 300H,F-Sport,"Rs. 60,60,000",FWD (Front Wheel Drive),56 litres,Petrol,18.3 km/litre,210Nm@4200-4400rpm,5,,Analog,,Sedan,,194PS@5700rpm,https://platform.cstatic-images.com/xlarge/in/v2/stock_photos/b033569c-fe0b-419a-a51e-ea0fddec0258/afffbe92-d3bf-4f41-b79a-3ffa5a16d520.png
Jaguar F-Pace,Prestige,"Rs. 64,63,780",AWD (All Wheel Drive),60 litres,Diesel,16.38 km/litre,430Nm@1750-2000rpm,5,475 litres,Analog + Digital,,SUV,,180ps@5500rpm,https://www.motortrend.com/uploads/sites/10/2019/08/2020-jaguar-f-pace-prestige-suv-angular-front.png
Volvo V90 Cross Country,D5 Inscription,"Rs. 65,31,000",AWD (All Wheel Drive),60 litres,Diesel,17.2 km/litre,480Nm@1740RPM,5,650 litres,Analog,,SUV,,235PS@4250RPM,https://www.cars.com/i/large/in/v2/stock_photos/f84f8745-e33b-44ca-a60b-b88c450839fb/ef85d2c5-2a70-4f2f-88e1-9bcef00e5dd4.png
Audi A5 Cabriolet,2.0 Tdi,"Rs. 69,48,200",AWD (All Wheel Drive),58 litres,Diesel,17.2 km/litre,400Nm @1750-3000rpm,5,650 litres,Analog,,SUV,,190ps @ 3800-4200rpm,https://images.dealer.com/ddc/vehicles/2024/Audi/A5/Convertible/perspective/front-left/2024_24.png
Mercedes Gle,300D 4Matic,"Rs. 73,70,000",FWD (Front Wheel Drive),93 litres,Diesel,,500Nm@1600rpm,4,530 litres,Analog + Digital,,Convertible,,245PS@4200rpm,"https://images.netdirector.co.uk/gforces-auto/image/upload/q_auto,c_fill,f_auto,fl_lossy/auto-client/a2a60ddf1ac979f28c79c41d6cf487f1/gle450.png"
Mercedes Cls,300D,"Rs. 84,70,000",AWD (All Wheel Drive),,Diesel,,500Nm@1600-2400RPM,5,825 litres,Analog + Digital,,SUV,,245Bhp@4200RPM,https://images.carandbike.com/car-images/colors/mercedes-benz/cls/mercedes-benz-cls-designo-diamond-white-bright.png?v=1556533546
Bmw X7,Xdrive 40I,"Rs. 1,04,90,000",RWD (Rear Wheel Drive),80 litres,Petrol,13.38 km/litre,450 Nm @ 1500 rpm,5,825 litres,Analog + Digital,,Sedan,,335 bhp @ 5500 rpm,https://www.cars24.com/new-cars/_next/image/?url=https%3A%2F%2Fcdn.24c.in%2Fprod%2Fnew-car-cms%2FCar-Image%2F2024%2F04%2F15%2Fca8e9852-93c8-4e7c-a8ba-ae2088acf133-BMW_X7_Mineral-White.png&w=828&q=30
Bmw M4,Coupe,"Rs. 1,35,90,000",AWD (All Wheel Drive),60 litres,Petrol,10.75 km/litre,550Nm@1850-5500rpm,7,326 litres,Digital,,SUV,,431PS@7300RPM,https://www.bmw-m.com/content/dam/bmw/marketBMW_M/www_bmw-m_com/all-models/model-navigation/bmw-m4-coupe-lci-flyout.png
Porsche 911,Carrera S,"Rs. 1,74,20,000",RWD (Rear Wheel Drive),64 litres,Petrol,8.9 km/litre,530Nm@5000rpm,4,326 litres,Digital,,Coupe,,450hp@6500rpm,https://gld-creative.s3.us-west-2.amazonaws.com/2024-porsche-911-carrera-4-model-trim-88ef29eabfd8-600x300.png
Nissan Gtr,3.8 V6,"Rs. 2,12,40,272",AWD (All Wheel Drive),74 litres,Petrol,9 km/litre,637Nm@3200rpm,4,132 litres,Analog + Digital,,Convertible,,570PS@6800rpm,https://di-sitebuilder-assets.s3.amazonaws.com/Nissan/MLP/GT-R/2024/color-Pearl-White-TriCoat.png
 Aston Martin Vantage,Coupe,"Rs. 2,95,00,000",AWD (All Wheel Drive),73 litres,Petrol,8 km/litre,685Nm@2000-5000rpm,4,132 litres,Analog + Digital,,Coupe,,505bhp@6000rpm,https://www.carvia.com/wp-content/uploads/2023/01/aston-martin-vantage-roadster-mietwagen-beispielbild-1-570x263_c.png
Aston Martin Rapide,Luxe,"Rs. 3,88,45,823",RWD (Rear Wheel Drive),90.5 litres,Petrol,12.9 km/litre,630Nm@5500rpm,2,249 litres,Analog,,Coupe,,560PS@6650rpm,https://www.motortrend.com/uploads/sites/10/2017/11/2013-aston-martin-rapide-sedan-angular-front.png
Ferrari 812 Superfast,Superfast,"Rs. 5,20,00,000",RWD (Rear Wheel Drive),92 litres,Petrol,14.9 km/litre,718 Nm @ 7000 rpm,4,,Analog,,Sedan,,789 bhp @ 8500 rpm,https://www.motortrend.com/uploads/sites/5/2020/06/2020-ferrari-812-superfast.png
Maruti Suzuki Alto 800 Tour,H1,"Rs. 3,54,235",AWD (All Wheel Drive),35 litres,Petrol,23.7 km/litre,69Nm@3500rpm,2,300 litres,Analog + Digital,,Coupe,,48PS@6000rpm,https://commercial.marutiseva.com/assets/images/drop-down-alto.png
Hyundai Grand I10 Nios,Magna 1.2 Crdi,"Rs. 6,75,090",FWD (Front Wheel Drive),37 litres,Diesel,20.7 km/litre,190NM@1750-2250RPM,5,177 litres,Analog + Digital,,Hatchback,,75PS@4000rpm,https://www.carandbike.com/_next/image?url=https%3A%2F%2Fimages.carandbike.com%2Fcar-images%2Fcolors%2Fhyundai%2Fgrand-i10-nios%2Fhyundai-grand-i10-nios-polar-white.png%3Fv%3D1677753126&w=750&q=75
Hyundai Xcent,S 1.2,"Rs. 6,43,769",FWD (Front Wheel Drive),43 litres,Petrol,20.14 km/litre,114Nm@6000rpm,5,256 litres,Analog + Digital,,Hatchback,,83PS@6000rpm,https://5.imimg.com/data5/OA/PV/GLADMIN-67827253/hyundai-xcent-car.png
Nissan Micra,Xl (O) Cvt,"Rs. 6,62,880",FWD (Front Wheel Drive),41 litres,Petrol,19.34 km/litre,104Nm@4000rpm,5,407 litres,Analog + Digital,,Sedan,,77PS@6000rpm,https://auto.economictimes.indiatimes.com/files/retail_files/micra-active-1503576955-prod-var.png
Mahindra Bolero,Zlx,"Rs. 9,42,263",FWD (Front Wheel Drive),60 litres,Diesel,15.96 km/litre,195Nm@1400-2200rpm,5,251 litres,Analog + Digital,,Hatchback,,63PS@3200rpm,https://5.imimg.com/data5/NI/UI/HS/GLADMIN-28949246/bolero-white-00001.png
Maruti Suzuki Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",FWD (Front Wheel Drive),43 litres,Diesel,28.09 km/litre,200Nm@1750rpm,7,,Analog + Digital,,SUV,,89Bhp@4000RPM,https://avgmotors.co.in/wp-content/uploads/2021/10/metallic-premium-silver-430x321.png
Skoda Rapid,1.6 Mpi Ambition,"Rs. 9,98,599",FWD (Front Wheel Drive),55 litres,Petrol,15.41 km/litre,153Nm@3750-3800rpm,5,510 litres,Analog + Digital,,Sedan,,105PS@5250rpm,https://www.skodaperth.com.au/wp-content/uploads/2024/01/menu-rapid.webp
Fiat Abarth Punto,1.4 T-Jet,"Rs. 9,80,970",FWD (Front Wheel Drive),,Petrol,16.3 km/litre,212Nm@2000-4000rpm,5,460 litres,Analog + Digital,,Sedan,,145PS@5500rpm,https://ecosetting-files.com/en/image/models/XEYyyFUCDsym6tdLGEAAE7JCVKS9B4.png
Hyundai Creta,1.4 Crdi E Plus,"Rs. 9,99,990",FWD (Front Wheel Drive),55 litres,Diesel,21.38 km/litre,220Nm@1500-2750rpm,5,460 litres,Analog + Digital,,Hatchback,,90PS@4000rpm,https://ackodrive-assets.s3.amazonaws.com/media/test_3h0Yqe8.png
Tata Harrier,Revotorq Xe,"Rs. 13,45,363",FWD (Front Wheel Drive),50 litres,Diesel,16.7 km/litre,350Nm@1750-2500rpm,5,400 litres,Analog + Digital,,SUV,,140PS@3750rpm,https://s7ap1.scene7.com/is/image/tatamotors/OberonBlack-0-3?$PO-850-600-S$&fit=crop&fmt=png-alpha
Isuzu Dmax V-Cross,Standard,"Rs. 16,54,783",FWD (Front Wheel Drive),,Diesel,10.3 km/litre,320NM@1800-2800RPM,5,425 litres,Analog + Digital,,Hatchback,,134PS@3600RPM,https://www.carshophub.co.za/XMLFeedOutput/VehicleImages/888929/SP111GMM00049/SP111GMM00049-46.png
Mitsubishi Outlander,2.4L Outlander,"Rs. 26,93,000",AWD (All Wheel Drive),60 litres,Petrol,9.62 km/litre,222Nm@4100RPM,5,,Analog + Digital,,Pick-up,,167PS@6000RPM,https://magnetis-plateforme.s3.ca-central-1.amazonaws.com/vehicle_models/images/7379c6cd423a5c9f5cb9de62a64a2d5e/250/trim_1684/color_C17/3794b50b71207afd167ca649c02a78b2-cc_2024MIS030038_01_1280_C17-730x548.png
Mercedes Gla-Class,200 Sport,"Rs. 34,38,000",AWD (All Wheel Drive),50 litres,Petrol,13.8 km/litre,300Nm@1200-1400rpm,7,265 litres,Analog + Digital,,SUV,,183PS@5500rpm,https://www.cars24.com/new-cars/_next/image/?url=https%3A%2F%2Fcdn.24c.in%2Fprod%2Fnew-car-cms%2FMercedes-Benz%2FGla-2024%2F2024%2F06%2F14%2F211937cf-0b19-415f-aa9b-6ed5a098e9ef-eaf750b7-bba2-40ee-9b11-6f2c4ebf6e47-Mercedes-Benz_GLA-2024_Polar-White.png&w=1920&q=75
Honda Accord Hybrid,2.0 At,"Rs. 43,21,237",4WD,60 litres,Hybrid,23.1 km/litre,175Nm@4000rpm,5,421 litres,Analog + Digital,,SUV,,145PS@6200rpm,https://di-uploads-pod23.dealerinspire.com/stevensonhendrickhondajacksonville/uploads/2024/02/mlp-img-top-2024-accord-hybrid.png
Bmw 5-Series,520D Luxury Line,"Rs. 59,30,000",FWD (Front Wheel Drive),70 litres,Diesel,18.12 km/litre,400Nm@1750-2500rpm,5,421 litres,Analog + Digital,,Sedan,,190PS@4000rpm,"https://cache.bmwusa.com/cosy.arox?pov=walkaround&brand=WBBM&vehicle=245A&client=byo&paint=P0300&fabric=FKSSW&sa=S01CE,S02TE,S0302,S0316,S0319,S0322,S03G2,S0403,S043L,S0459,S04FL,S05AS,S05DM,S0674,S06AC,S06AK,S06C4,S06NX,S0775&quality=70&bkgnd=transparent&resp=png&angle=40&w=9800&h=8000&x=100&y=1100"
Bmw 6-Series,630D Gt Luxury Line,"Rs. 68,90,000",RWD (Rear Wheel Drive),88 litres,Diesel,16.46 km/litre,620Nm@2000-2500RPM,5,520 litres,Analog + Digital,,Sedan,,265PS@4000RPM,https://www.bmw.cc/content/dam/bmw/common/all-models/6-series/gran-turismo/2021/navigation/bmw-6-series-gran-turismo-posi-modelfinder.png
Porsche Macan,S,"Rs. 85,03,000",RWD (Rear Wheel Drive),65 litres,Petrol,,480Nm@1360rpm,4,,Analog,,Sedan,,349PS@5400RPM,https://www.cars24.com/new-cars/_next/image/?url=https%3A%2F%2Fcdn.24c.in%2Fprod%2Fnew-car-cms%2FPorsche%2FMacan%2F2024%2F04%2F01%2Fdb84400d-9cb9-4735-84c1-3d24fa67abf4-Porsche_Macan_Carrara-White-Metallic.png&w=750&q=75
Jaguar F-Type,5.0 Convertible R,"Rs. 2,36,59,454",AWD (All Wheel Drive),,Petrol,,625Nm@2500-5500rpm,5,500 litres,Analog + Digital,,SUV,,495PS@6500RPM,https://images.carandbike.com/car-images/colors/jaguar/f-type/jaguar-f-type-firenze-red.png?v=1589437010
Bmw M5,Competition,"Rs. 1,54,90,000",RWD (Rear Wheel Drive),68 litres,Petrol,9.8 km/litre,750Nm@1800-5860rpm,2,207 litres,Analog,,Coupe,,625PS@6000rpm,https://images.dealer.com/ddc/vehicles/2023/BMW/M5/Sedan/perspective/front-left/2023_76.png
Lexus Lx 570,V8,"Rs. 2,32,90,000",AWD (All Wheel Drive),93 litres,Diesel,18 km/litre,546Nm@1600-2600rpm,4,310 litres,Digital,,Sedan,,380PS@6000rpm,https://tmna.aemassets.toyota.com/is/image/toyota/lexus/images/models/lx/2022/styles/Lexus-LX-600-style-selector-nori-green-pearl-visualizer-750x471-LEX-LXG-MY22-0081.04.png?wid=750&hei=471&fmt=png-alpha
Ferrari 458 Spider,V8,"Rs. 4,33,67,500",FWD (Front Wheel Drive),86 litres,Petrol,5.5 km/litre,760NM@3000rpm,7,530 litres,Analog + Digital,,SUV,,669PS@8000rpm,https://www.cars.com/i/large/in/v2/stock_photos/d19e3d9b-d4dc-4a6e-9b05-2e62f08e3146/233ac133-6877-4105-936e-42560e435490.png
Maruti Suzuki Wagon R,Vxi,"Rs. 4,79,000",AWD (All Wheel Drive),32 litres,Petrol,22.5 km/litre,90Nm@3500rpm,2,,Analog,,"Coupe, Convertible",,68PS@5500rpm,https://www.carandbike.com/_next/image?url=https%3A%2F%2Fimages.carandbike.com%2Fcar-images%2Fcolors%2Fmaruti-suzuki%2Fwagon-r%2Fmaruti-suzuki-wagon-r-solid-white.png%3Fv%3D1650633105&w=640&q=75
Tata Tiago Nrg,1.2L Revotron,"Rs. 5,94,993",FWD (Front Wheel Drive),35 litres,Petrol,23.84 km/litre,114NM@3500rpm,5,341 litres,Analog + Digital,,Hatchback,33.54 km/kg,85PS@6000rpm,https://s7ap1.scene7.com/is/image/tatamotors/TornadoBlue-0-3?$PO-750-500-S$&fit=crop&fmt=webp-alpha
